Timestamp,T7/betaL,AF3/betaL,Pz/betaL,AF4/betaL,T8/betaL,T7/theta,AF3/theta,Pz/theta,AF4/theta,T8/theta,T7/alpha,AF3/alpha,Pz/alpha,AF4/alpha,T8/alpha,T7/betaH,AF3/betaH,Pz/betaH,AF4/betaH,T8/betaH,T7/gamma,AF3/gamma,Pz/gamma,AF4/gamma,T8/gamma
2023-05-14 17:47:29.014,0.563,2.710,1.633,0.644,1.206,3.717,338.234,2.504,262.363,5.265,1.464,49.893,0.840,39.785,1.148,0.494,0.879,0.420,0.681,0.491,0.719,0.365,0.418,0.550,0.409
2023-05-14 17:47:29.141,0.452,2.370,1.531,0.411,1.232,3.954,344.314,2.899,264.153,5.114,1.897,46.282,0.787,36.480,1.095,0.472,0.857,0.480,0.577,0.541,0.696,0.397,0.442,0.543,0.363
2023-05-14 17:47:29.270,0.350,1.907,1.337,0.282,1.199,3.793,303.043,3.221,230.894,5.006,2.205,37.355,0.878,29.115,1.203,0.438,0.839,0.566,0.544,0.587,0.692,0.430,0.499,0.562,0.338
2023-05-14 17:47:29.389,0.277,1.429,1.110,0.249,1.130,3.323,227.875,3.366,172.626,4.878,2.269,25.906,1.043,19.918,1.392,0.406,0.833,0.635,0.581,0.613,0.690,0.460,0.560,0.593,0.347
2023-05-14 17:47:29.516,0.239,1.019,0.915,0.278,1.057,2.720,143.554,3.311,107.815,4.704,2.048,14.938,1.185,11.285,1.575,0.387,0.829,0.660,0.656,0.611,0.672,0.480,0.591,0.615,0.385
2023-05-14 17:47:29.644,0.234,0.750,0.793,0.331,0.985,2.178,76.662,3.094,55.526,4.515,1.607,6.963,1.224,4.997,1.659,0.390,0.816,0.630,0.728,0.584,0.629,0.481,0.575,0.609,0.433
2023-05-14 17:47:29.766,0.263,0.623,0.747,0.384,0.901,1.811,44.073,2.790,27.011,4.379,1.118,3.745,1.144,2.002,1.594,0.416,0.783,0.557,0.756,0.555,0.570,0.462,0.521,0.574,0.471
2023-05-14 17:47:29.891,0.329,0.617,0.751,0.428,0.796,1.667,50.468,2.445,24.118,4.325,0.758,4.947,0.994,1.772,1.398,0.457,0.736,0.471,0.729,0.556,0.508,0.428,0.452,0.520,0.482
2023-05-14 17:47:30.018,0.427,0.705,0.784,0.450,0.671,1.685,85.465,2.123,38.846,4.283,0.634,8.853,0.849,3.128,1.172,0.502,0.689,0.405,0.669,0.606,0.456,0.390,0.395,0.469,0.465
2023-05-14 17:47:30.139,0.533,0.835,0.851,0.450,0.540,1.733,130.327,1.832,59.118,4.223,0.725,13.165,0.762,4.821,1.044,0.539,0.660,0.373,0.618,0.696,0.423,0.360,0.363,0.444,0.427
2023-05-14 17:47:30.268,0.627,0.936,0.965,0.447,0.431,1.788,170.608,1.608,77.419,4.113,0.920,16.652,0.734,6.460,1.082,0.558,0.659,0.371,0.621,0.797,0.417,0.359,0.358,0.453,0.389
2023-05-14 17:47:30.394,0.701,0.974,1.132,0.477,0.362,1.788,191.182,1.445,86.710,4.013,1.099,18.242,0.728,7.669,1.279,0.556,0.688,0.383,0.705,0.874,0.443,0.403,0.365,0.490,0.367
2023-05-14 17:47:30.514,0.756,0.933,1.331,0.552,0.335,1.740,184.451,1.338,83.516,4.018,1.183,17.443,0.706,8.128,1.551,0.538,0.734,0.394,0.855,0.899,0.502,0.493,0.371,0.534,0.374
2023-05-14 17:47:30.642,0.798,0.835,1.522,0.668,0.338,1.647,153.662,1.260,69.649,4.101,1.155,14.618,0.678,7.777,1.784,0.509,0.769,0.397,1.022,0.867,0.589,0.610,0.367,0.564,0.404
2023-05-14 17:47:30.770,0.828,0.732,1.657,0.814,0.368,1.582,108.852,1.166,49.671,4.115,1.030,10.744,0.687,6.795,1.895,0.470,0.768,0.391,1.143,0.792,0.684,0.714,0.351,0.564,0.442
2023-05-14 17:47:30.889,0.852,0.686,1.726,0.983,0.454,1.616,64.131,1.069,30.071,3.981,0.858,6.948,0.792,5.506,1.884,0.430,0.728,0.380,1.172,0.698,0.757,0.766,0.328,0.537,0.468
2023-05-14 17:47:31.016,0.910,0.757,1.735,1.184,0.628,1.897,30.677,0.974,15.859,3.741,0.761,4.116,1.027,4.297,1.813,0.404,0.670,0.372,1.103,0.614,0.783,0.749,0.303,0.496,0.471
2023-05-14 17:47:31.144,1.070,0.953,1.706,1.418,0.884,2.918,12.350,0.956,8.522,3.474,0.875,2.532,1.372,3.415,1.760,0.413,0.623,0.370,0.980,0.564,0.755,0.674,0.286,0.461,0.452
2023-05-14 17:47:31.265,1.376,1.253,1.706,1.688,1.196,4.407,5.850,1.039,6.527,3.409,1.268,1.933,1.763,2.950,1.776,0.473,0.619,0.383,0.882,0.574,0.689,0.574,0.282,0.448,0.421
2023-05-14 17:47:31.391,1.812,1.614,1.808,1.999,1.513,6.296,4.766,1.157,6.867,3.523,1.892,1.834,2.098,2.851,1.838,0.581,0.672,0.416,0.867,0.645,0.612,0.484,0.290,0.458,0.391
2023-05-14 17:47:31.519,2.277,1.960,2.031,2.327,1.786,7.859,4.823,1.214,7.427,3.731,2.579,1.944,2.298,2.988,1.893,0.707,0.762,0.469,0.946,0.757,0.550,0.427,0.303,0.477,0.373
2023-05-14 17:47:31.638,2.617,2.230,2.331,2.629,1.960,8.593,4.770,1.147,7.735,3.794,3.089,2.009,2.355,3.106,1.907,0.812,0.852,0.532,1.074,0.870,0.518,0.405,0.316,0.491,0.375
2023-05-14 17:47:31.767,2.712,2.415,2.615,2.849,2.006,8.206,4.442,0.996,7.551,3.560,3.263,1.991,2.329,3.130,1.884,0.878,0.909,0.590,1.185,0.953,0.518,0.403,0.327,0.491,0.412
2023-05-14 17:47:31.894,2.562,2.572,2.785,2.959,1.972,6.846,4.042,0.882,6.906,3.064,3.134,1.977,2.298,3.109,1.915,0.909,0.913,0.623,1.221,0.991,0.539,0.406,0.337,0.490,0.500
2023-05-14 17:47:32.013,2.413,2.743,2.785,2.930,1.943,6.359,3.825,0.880,6.131,2.439,3.341,2.092,2.299,3.132,2.065,0.952,0.869,0.616,1.159,0.992,0.571,0.407,0.348,0.502,0.643
2023-05-14 17:47:32.141,2.751,2.935,2.610,2.751,1.994,10.917,3.750,0.990,5.256,1.916,5.180,2.414,2.308,3.255,2.352,1.091,0.795,0.571,1.018,0.974,0.609,0.415,0.361,0.539,0.820
2023-05-14 17:47:32.270,4.003,3.093,2.310,2.443,2.134,24.650,3.885,1.165,4.663,1.698,9.606,2.866,2.280,3.420,2.688,1.387,0.712,0.501,0.850,0.948,0.652,0.433,0.371,0.596,0.990
2023-05-14 17:47:32.389,6.203,3.128,1.967,2.041,2.279,47.529,3.925,1.340,4.239,1.685,16.386,3.234,2.174,3.459,2.927,1.816,0.637,0.431,0.707,0.913,0.693,0.457,0.370,0.657,1.102
2023-05-14 17:47:32.516,8.853,2.954,1.661,1.613,2.321,75.388,3.840,1.489,4.000,1.824,23.857,3.277,1.982,3.205,2.942,2.267,0.577,0.379,0.619,0.857,0.721,0.474,0.352,0.697,1.122
2023-05-14 17:47:32.644,11.083,2.565,1.452,1.242,2.186,99.384,3.610,1.643,3.839,1.886,29.621,2.915,1.737,2.641,2.724,2.585,0.525,0.367,0.587,0.771,0.729,0.467,0.318,0.697,1.041
2023-05-14 17:47:32.765,12.112,2.038,1.380,0.975,1.876,112.041,3.302,1.907,3.717,1.887,31.642,2.264,1.512,1.902,2.371,2.646,0.475,0.407,0.585,0.657,0.715,0.431,0.279,0.653,0.886
2023-05-14 17:47:32.891,11.591,1.504,1.453,0.811,1.444,107.139,2.969,2.369,3.583,1.940,29.158,1.544,1.374,1.191,2.024,2.412,0.421,0.500,0.587,0.535,0.684,0.371,0.251,0.575,0.700
2023-05-14 17:47:33.019,9.738,1.078,1.646,0.716,0.985,88.575,2.650,2.963,3.511,2.300,23.063,0.977,1.346,0.663,1.787,1.962,0.363,0.636,0.575,0.427,0.642,0.300,0.247,0.486,0.527
2023-05-14 17:47:33.139,7.169,0.828,1.905,0.657,0.614,61.136,2.367,3.554,3.498,2.999,15.390,0.691,1.400,0.372,1.703,1.440,0.310,0.794,0.552,0.349,0.597,0.233,0.265,0.404,0.391
2023-05-14 17:47:33.268,4.658,0.741,2.139,0.623,0.416,34.632,2.142,3.936,3.567,3.936,8.405,0.671,1.480,0.274,1.746,0.992,0.272,0.934,0.534,0.307,0.550,0.180,0.294,0.340,0.299
2023-05-14 17:47:33.393,2.772,0.719,2.243,0.609,0.384,15.260,1.984,3.969,3.620,4.819,3.622,0.781,1.553,0.284,1.824,0.698,0.255,1.019,0.541,0.294,0.504,0.148,0.317,0.295,0.241
2023-05-14 17:47:33.513,1.678,0.676,2.180,0.609,0.457,5.011,1.984,3.627,3.688,5.303,1.297,0.901,1.600,0.373,1.854,0.564,0.255,1.032,0.577,0.304,0.462,0.134,0.321,0.266,0.205
2023-05-14 17:47:33.641,1.224,0.624,1.988,0.635,0.575,1.856,4.898,3.042,6.231,5.180,0.645,1.331,1.620,0.785,1.812,0.528,0.269,0.974,0.634,0.337,0.426,0.132,0.303,0.246,0.186
2023-05-14 17:47:33.770,1.126,0.596,1.751,0.685,0.714,1.790,19.901,2.476,19.734,4.647,0.619,2.911,1.588,2.151,1.704,0.516,0.294,0.868,0.688,0.386,0.397,0.137,0.267,0.230,0.177
2023-05-14 17:47:33.888,1.194,0.624,1.555,0.734,0.853,2.548,57.538,2.224,54.081,4.216,0.626,6.485,1.495,5.143,1.543,0.499,0.328,0.742,0.716,0.441,0.377,0.143,0.226,0.219,0.174
2023-05-14 17:47:34.016,1.330,0.721,1.436,0.756,0.970,3.513,121.007,2.442,112.086,4.355,0.603,12.168,1.353,9.848,1.341,0.475,0.366,0.626,0.707,0.488,0.366,0.154,0.188,0.212,0.172
2023-05-14 17:47:34.144,1.441,0.866,1.374,0.734,1.044,4.454,199.604,3.066,184.021,5.224,0.574,18.964,1.193,15.483,1.124,0.448,0.400,0.542,0.665,0.518,0.361,0.173,0.161,0.211,0.172
2023-05-14 17:47:34.265,1.439,1.002,1.315,0.671,1.058,5.064,272.505,3.810,250.787,6.500,0.579,25.050,1.056,20.601,0.927,0.421,0.421,0.496,0.607,0.521,0.359,0.201,0.146,0.215,0.177
2023-05-14 17:47:34.391,1.295,1.072,1.203,0.584,1.009,5.200,315.340,4.315,290.044,7.681,0.640,28.428,0.989,23.568,0.776,0.394,0.425,0.491,0.549,0.500,0.358,0.236,0.140,0.223,0.189
2023-05-14 17:47:34.518,1.047,1.052,1.018,0.500,0.915,4.861,313.424,4.492,288.234,8.171,0.745,27.903,1.019,23.360,0.696,0.372,0.420,0.524,0.516,0.469,0.363,0.270,0.141,0.232,0.209
2023-05-14 17:47:34.638,0.778,0.961,0.795,0.445,0.806,4.261,267.335,4.290,245.726,7.772,0.861,23.665,1.155,20.072,0.706,0.356,0.418,0.585,0.532,0.447,0.381,0.296,0.149,0.243,0.235
2023-05-14 17:47:34.767,0.572,0.834,0.588,0.428,0.719,3.607,193.381,3.803,177.553,6.533,0.953,17.179,1.382,14.888,0.802,0.356,0.432,0.653,0.602,0.452,0.416,0.309,0.163,0.256,0.265
2023-05-14 17:47:34.893,0.473,0.710,0.437,0.439,0.673,3.073,115.742,3.216,106.015,5.001,0.999,10.482,1.655,9.479,0.948,0.373,0.466,0.700,0.717,0.492,0.468,0.311,0.180,0.273,0.292
2023-05-14 17:47:35.014,0.464,0.617,0.357,0.463,0.663,2.768,54.905,2.709,50.013,3.638,1.010,5.273,1.904,5.186,1.091,0.399,0.511,0.704,0.845,0.552,0.527,0.303,0.197,0.290,0.310
2023-05-14 17:47:35.141,0.491,0.560,0.329,0.477,0.663,2.574,19.585,2.384,17.509,2.713,1.023,2.230,2.073,2.587,1.184,0.421,0.550,0.657,0.944,0.612,0.578,0.289,0.211,0.305,0.313
2023-05-14 17:47:35.270,0.507,0.520,0.319,0.474,0.659,2.393,5.757,2.256,4.832,2.244,1.071,0.984,2.141,1.450,1.211,0.432,0.570,0.579,0.984,0.652,0.606,0.272,0.218,0.311,0.298
2023-05-14 17:47:35.389,0.503,0.489,0.307,0.490,0.672,2.113,2.783,2.309,2.312,2.055,1.153,0.673,2.110,1.098,1.211,0.433,0.569,0.504,0.959,0.672,0.601,0.254,0.216,0.310,0.270
2023-05-14 17:47:35.516,0.487,0.456,0.307,0.580,0.737,1.805,2.149,2.503,2.045,1.967,1.229,0.722,2.007,1.106,1.235,0.436,0.560,0.468,0.890,0.684,0.563,0.239,0.205,0.304,0.238
2023-05-14 17:47:35.643,0.464,0.430,0.340,0.741,0.873,1.558,2.129,2.821,2.325,1.890,1.257,0.855,1.919,1.285,1.301,0.449,0.562,0.487,0.818,0.703,0.503,0.233,0.191,0.299,0.211
2023-05-14 17:47:35.765,0.442,0.436,0.427,0.952,1.056,1.455,2.978,3.245,3.376,1.889,1.221,1.094,1.956,1.717,1.393,0.473,0.580,0.551,0.784,0.724,0.435,0.239,0.179,0.299,0.197
2023-05-14 17:47:35.891,0.428,0.501,0.566,1.162,1.234,1.504,4.816,3.729,5.260,1.988,1.137,1.448,2.156,2.393,1.466,0.503,0.607,0.630,0.804,0.731,0.375,0.259,0.174,0.301,0.194
2023-05-14 17:47:36.018,0.427,0.626,0.727,1.301,1.349,1.612,7.200,4.209,7.563,2.165,1.052,1.877,2.463,3.153,1.484,0.528,0.628,0.684,0.853,0.704,0.334,0.287,0.177,0.299,0.199
2023-05-14 17:47:36.138,0.432,0.797,0.873,1.323,1.366,1.687,9.426,4.578,9.610,2.453,1.009,2.309,2.746,3.775,1.435,0.540,0.631,0.687,0.888,0.638,0.314,0.313,0.185,0.289,0.207
2023-05-14 17:47:36.267,0.433,0.981,0.967,1.230,1.289,1.640,10.688,4.722,10.671,2.798,1.039,2.659,2.894,4.095,1.327,0.537,0.618,0.637,0.871,0.547,0.311,0.329,0.193,0.267,0.212
2023-05-14 17:47:36.386,0.419,1.128,0.984,1.053,1.162,1.442,10.601,4.541,10.394,3.128,1.140,2.848,2.864,4.068,1.178,0.518,0.597,0.553,0.793,0.465,0.320,0.326,0.196,0.236,0.216
2023-05-14 17:47:36.513,0.391,1.191,0.927,0.851,1.041,1.134,9.236,4.078,8.932,3.365,1.273,2.835,2.700,3.769,1.016,0.490,0.581,0.461,0.673,0.426,0.331,0.305,0.192,0.203,0.219
2023-05-14 17:47:36.641,0.371,1.144,0.817,0.683,0.964,0.789,7.072,3.454,6.799,3.419,1.378,2.652,2.465,3.336,0.878,0.457,0.579,0.388,0.547,0.443,0.337,0.274,0.182,0.176,0.222
2023-05-14 17:47:36.763,0.382,1.001,0.678,0.584,0.937,0.504,4.811,2.844,4.669,3.278,1.401,2.390,2.204,2.893,0.797,0.420,0.592,0.347,0.456,0.507,0.336,0.243,0.169,0.158,0.226
2023-05-14 17:47:36.888,0.451,0.801,0.538,0.558,0.929,0.322,3.051,2.365,3.093,2.980,1.313,2.150,1.934,2.512,0.788,0.376,0.617,0.337,0.425,0.588,0.332,0.222,0.158,0.149,0.233
2023-05-14 17:47:37.016,0.578,0.601,0.410,0.599,0.902,0.249,2.367,2.119,2.639,2.717,1.133,2.077,1.651,2.260,0.833,0.326,0.646,0.348,0.466,0.654,0.333,0.212,0.156,0.146,0.244
2023-05-14 17:47:37.136,0.740,0.455,0.308,0.729,0.836,0.262,3.294,2.123,3.828,2.845,0.916,2.318,1.355,2.234,0.921,0.280,0.666,0.369,0.569,0.690,0.350,0.212,0.165,0.150,0.255
2023-05-14 17:47:37.265,0.885,0.422,0.242,0.996,0.758,0.362,6.118,2.283,6.910,3.646,0.728,2.928,1.059,2.531,1.063,0.248,0.667,0.390,0.713,0.699,0.389,0.217,0.182,0.160,0.267
2023-05-14 17:47:37.391,0.966,0.521,0.216,1.391,0.708,0.563,10.463,2.512,11.561,5.200,0.616,3.816,0.802,3.175,1.265,0.241,0.644,0.404,0.871,0.692,0.447,0.220,0.203,0.176,0.277
2023-05-14 17:47:37.511,0.967,0.736,0.224,1.831,0.710,0.883,15.515,2.779,16.771,7.312,0.594,4.796,0.658,4.072,1.559,0.262,0.609,0.409,1.014,0.683,0.509,0.221,0.223,0.197,0.285
2023-05-14 17:47:37.639,0.911,1.015,0.247,2.204,0.767,1.274,20.022,3.094,21.425,9.554,0.631,5.574,0.671,4.941,1.973,0.304,0.581,0.407,1.112,0.686,0.560,0.224,0.236,0.217,0.290
2023-05-14 17:47:37.768,0.844,1.280,0.263,2.387,0.864,1.630,22.448,3.436,23.937,11.280,0.683,5.852,0.820,5.436,2.502,0.355,0.579,0.401,1.134,0.711,0.585,0.237,0.240,0.233,0.295
2023-05-14 17:47:37.886,0.809,1.445,0.266,2.289,0.958,1.841,22.054,3.816,23.808,12.173,0.719,5.499,1.049,5.309,3.061,0.398,0.606,0.389,1.064,0.754,0.580,0.263,0.237,0.245,0.299
2023-05-14 17:47:38.013,0.822,1.463,0.254,1.932,1.007,1.837,19.370,4.158,21.639,12.045,0.733,4.572,1.296,4.565,3.584,0.421,0.648,0.369,0.913,0.796,0.546,0.297,0.230,0.254,0.301
2023-05-14 17:47:38.141,0.871,1.360,0.238,1.467,1.011,1.628,17.907,4.324,20.883,11.145,0.742,3.523,1.510,3.684,4.139,0.421,0.684,0.342,0.723,0.830,0.497,0.326,0.222,0.268,0.304
2023-05-14 17:47:38.263,0.925,1.212,0.231,1.075,1.030,1.299,24.045,4.220,28.590,10.375,0.761,2.840,1.641,3.281,4.812,0.400,0.692,0.314,0.553,0.860,0.451,0.341,0.219,0.291,0.308
2023-05-14 17:47:38.388,0.957,1.091,0.260,0.870,1.107,0.980,42.646,3.873,50.111,10.575,0.782,2.759,1.666,3.663,5.583,0.369,0.667,0.292,0.455,0.893,0.431,0.340,0.228,0.328,0.316
2023-05-14 17:47:38.516,0.952,1.036,0.345,0.875,1.265,0.782,72.984,3.463,84.893,12.223,0.781,3.172,1.604,4.671,6.306,0.337,0.614,0.281,0.445,0.925,0.449,0.325,0.252,0.374,0.325
2023-05-14 17:47:38.636,0.914,1.035,0.480,1.010,1.469,0.747,107.470,3.160,124.530,14.829,0.729,3.720,1.502,5.794,6.741,0.312,0.549,0.281,0.499,0.940,0.504,0.304,0.288,0.417,0.332
2023-05-14 17:47:38.765,0.861,1.028,0.636,1.135,1.647,0.827,134.585,3.022,155.807,17.188,0.614,3.980,1.390,6.418,6.649,0.296,0.487,0.291,0.569,0.923,0.578,0.286,0.330,0.446,0.331
2023-05-14 17:47:38.891,0.814,0.965,0.766,1.143,1.725,0.928,144.274,2.957,167.149,18.032,0.459,3.760,1.285,6.241,5.958,0.288,0.435,0.309,0.607,0.863,0.648,0.279,0.367,0.454,0.320
2023-05-14 17:47:39.011,0.791,0.835,0.824,1.015,1.668,1.028,133.578,2.870,154.508,16.701,0.315,3.165,1.185,5.371,4.830,0.287,0.396,0.333,0.602,0.764,0.689,0.281,0.386,0.442,0.301
2023-05-14 17:47:39.139,0.803,0.660,0.800,0.803,1.483,1.163,105.611,2.712,121.775,13.498,0.223,2.408,1.105,4.150,3.615,0.299,0.367,0.362,0.569,0.648,0.687,0.287,0.383,0.419,0.284
2023-05-14 17:47:39.267,0.865,0.486,0.729,0.589,1.219,1.378,70.606,2.509,80.675,9.405,0.199,1.676,1.083,2.969,2.641,0.330,0.346,0.388,0.532,0.540,0.643,0.287,0.362,0.391,0.275
2023-05-14 17:47:39.386,0.985,0.367,0.661,0.443,0.946,1.662,38.709,2.369,43.704,5.770,0.230,1.104,1.173,2.097,2.079,0.384,0.335,0.406,0.507,0.463,0.571,0.278,0.332,0.362,0.275
2023-05-14 17:47:39.513,1.165,0.328,0.626,0.391,0.716,1.947,17.079,2.329,18.619,3.479,0.292,0.756,1.385,1.676,1.934,0.456,0.338,0.408,0.497,0.433,0.494,0.258,0.303,0.338,0.281
2023-05-14 17:47:39.641,1.389,0.352,0.617,0.412,0.551,2.154,6.550,2.332,6.622,2.755,0.367,0.596,1.657,1.614,2.026,0.538,0.352,0.391,0.488,0.442,0.430,0.233,0.285,0.322,0.287
2023-05-14 17:47:39.762,1.620,0.410,0.612,0.452,0.458,2.181,3.439,2.314,3.167,3.092,0.446,0.555,1.884,1.715,2.133,0.611,0.372,0.358,0.464,0.467,0.385,0.207,0.276,0.317,0.287
2023-05-14 17:47:39.888,1.809,0.482,0.601,0.468,0.428,1.988,2.874,2.187,2.605,3.778,0.530,0.594,1.982,1.838,2.148,0.659,0.392,0.319,0.417,0.487,0.355,0.188,0.275,0.325,0.284
2023-05-14 17:47:40.016,1.920,0.567,0.598,0.455,0.460,1.631,2.236,1.949,2.031,4.329,0.625,0.713,1.947,1.910,2.068,0.675,0.408,0.289,0.357,0.494,0.337,0.182,0.275,0.340,0.282
2023-05-14 17:47:40.136,1.941,0.656,0.633,0.449,0.556,1.239,1.626,1.667,1.461,4.603,0.740,0.881,1.893,1.892,1.919,0.675,0.421,0.278,0.302,0.490,0.328,0.192,0.277,0.357,0.283
2023-05-14 17:47:40.265,1.881,0.728,0.743,0.485,0.704,0.972,1.464,1.457,1.222,4.581,0.874,1.056,1.977,1.819,1.760,0.677,0.431,0.289,0.268,0.490,0.326,0.214,0.280,0.364,0.290
2023-05-14 17:47:40.391,1.776,0.758,0.927,0.570,0.872,0.868,1.792,1.358,1.368,4.312,1.013,1.176,2.296,1.726,1.672,0.698,0.442,0.317,0.264,0.508,0.330,0.243,0.284,0.353,0.297
2023-05-14 17:47:40.511,1.666,0.728,1.159,0.687,1.015,0.902,2.467,1.354,1.799,3.900,1.140,1.205,2.815,1.641,1.695,0.740,0.453,0.347,0.284,0.550,0.337,0.272,0.287,0.323,0.302
2023-05-14 17:47:40.638,1.571,0.650,1.388,0.811,1.102,0.977,3.185,1.405,2.333,3.468,1.230,1.153,3.378,1.577,1.816,0.790,0.462,0.370,0.317,0.606,0.345,0.293,0.287,0.282,0.300
2023-05-14 17:47:40.767,1.492,0.555,1.567,0.903,1.112,1.011,3.678,1.478,2.797,3.063,1.272,1.083,3.792,1.533,1.987,0.826,0.466,0.380,0.353,0.660,0.349,0.303,0.283,0.245,0.291
2023-05-14 17:47:40.886,1.406,0.482,1.684,0.944,1.048,0.959,3.765,1.528,3.069,2.674,1.253,1.066,3.932,1.503,2.152,0.833,0.457,0.380,0.393,0.699,0.346,0.300,0.278,0.224,0.279
2023-05-14 17:47:41.013,1.300,0.456,1.743,0.934,0.925,0.878,3.409,1.548,3.078,2.295,1.162,1.128,3.790,1.467,2.275,0.806,0.433,0.373,0.437,0.707,0.338,0.286,0.272,0.224,0.264
2023-05-14 17:47:41.141,1.190,0.493,1.739,0.887,0.765,0.867,2.806,1.552,2.882,1.961,1.020,1.259,3.465,1.409,2.316,0.756,0.401,0.363,0.485,0.679,0.331,0.264,0.268,0.239,0.247
2023-05-14 17:47:41.263,1.107,0.610,1.652,0.836,0.602,1.002,2.615,1.605,2.908,1.688,0.871,1.587,3.084,1.481,2.293,0.699,0.382,0.351,0.538,0.619,0.328,0.238,0.266,0.263,0.232
2023-05-14 17:47:41.388,1.088,0.824,1.475,0.813,0.473,1.291,3.563,1.741,3.748,1.520,0.758,2.289,2.734,1.876,2.265,0.651,0.399,0.340,0.598,0.543,0.334,0.213,0.267,0.293,0.220
2023-05-14 17:47:41.516,1.140,1.139,1.230,0.832,0.408,1.653,6.021,1.929,5.726,1.439,0.709,3.412,2.415,2.651,2.244,0.628,0.466,0.335,0.665,0.462,0.348,0.194,0.270,0.327,0.215
2023-05-14 17:47:41.636,1.235,1.529,0.961,0.872,0.410,1.958,9.617,2.108,8.622,1.382,0.725,4.787,2.076,3.658,2.222,0.634,0.568,0.353,0.732,0.388,0.367,0.190,0.274,0.363,0.220
2023-05-14 17:47:41.765,1.337,1.912,0.720,0.898,0.481,2.098,13.387,2.262,11.707,1.311,0.779,6.051,1.677,4.590,2.190,0.660,0.672,0.418,0.787,0.332,0.386,0.202,0.279,0.398,0.233
2023-05-14 17:47:41.891,1.406,2.184,0.537,0.888,0.636,2.025,16.043,2.405,13.971,1.233,0.845,6.795,1.248,5.119,2.130,0.695,0.740,0.547,0.815,0.305,0.400,0.227,0.287,0.428,0.247
2023-05-14 17:47:42.011,1.403,2.247,0.420,0.840,0.889,1.773,16.626,2.554,14.623,1.218,0.902,6.779,0.897,5.072,2.057,0.726,0.745,0.730,0.802,0.310,0.411,0.252,0.301,0.447,0.257
2023-05-14 17:47:42.138,1.325,2.069,0.355,0.783,1.217,1.429,14.920,2.687,13.426,1.335,0.935,6.015,0.729,4.503,2.028,0.750,0.686,0.929,0.749,0.346,0.421,0.264,0.319,0.451,0.258
2023-05-14 17:47:42.267,1.194,1.702,0.325,0.757,1.555,1.110,11.448,2.762,10.710,1.628,0.937,4.794,0.776,3.662,2.086,0.770,0.592,1.089,0.677,0.404,0.433,0.256,0.335,0.440,0.246
2023-05-14 17:47:42.386,1.055,1.252,0.312,0.784,1.805,0.928,8.912,2.764,8.376,2.051,0.916,3.414,0.986,2.781,2.232,0.792,0.507,1.166,0.623,0.479,0.447,0.229,0.341,0.416,0.226
2023-05-14 17:47:42.513,0.960,0.839,0.307,0.853,1.883,0.933,13.375,2.721,10.655,2.474,0.881,2.402,1.248,2.202,2.429,0.817,0.468,1.143,0.628,0.577,0.463,0.198,0.334,0.394,0.210
2023-05-14 17:47:42.641,0.941,0.556,0.327,0.924,1.757,1.112,30.261,2.680,21.302,2.803,0.832,2.059,1.454,2.067,2.603,0.840,0.491,1.044,0.713,0.701,0.483,0.181,0.316,0.383,0.210
2023-05-14 17:47:42.762,0.997,0.424,0.400,0.946,1.463,1.414,60.581,2.689,41.046,2.988,0.766,2.362,1.569,2.293,2.682,0.852,0.560,0.912,0.855,0.843,0.505,0.188,0.297,0.391,0.234
2023-05-14 17:47:42.889,1.102,0.398,0.530,0.887,1.098,1.748,98.192,2.802,65.688,2.974,0.681,3.016,1.644,2.655,2.637,0.844,0.645,0.790,0.999,0.979,0.522,0.216,0.285,0.410,0.278
2023-05-14 17:47:43.016,1.220,0.412,0.694,0.745,0.764,2.020,132.311,2.978,87.958,2.737,0.605,3.668,1.758,2.936,2.474,0.810,0.716,0.704,1.088,1.080,0.525,0.249,0.283,0.430,0.328
2023-05-14 17:47:43.136,1.307,0.436,0.849,0.575,0.538,2.152,151.084,3.081,99.964,2.341,0.570,4.107,1.958,3.072,2.232,0.746,0.751,0.652,1.089,1.116,0.508,0.271,0.288,0.438,0.364
2023-05-14 17:47:43.265,1.330,0.464,0.951,0.440,0.438,2.095,149.004,3.007,98.046,1.888,0.592,4.159,2.218,3.019,1.947,0.660,0.742,0.616,1.008,1.077,0.473,0.271,0.292,0.426,0.373
2023-05-14 17:47:43.391,1.285,0.494,0.977,0.382,0.419,1.849,126.072,2.735,82.331,1.435,0.659,3.788,2.448,2.786,1.650,0.563,0.696,0.577,0.880,0.969,0.427,0.254,0.286,0.394,0.352
2023-05-14 17:47:43.511,1.196,0.509,0.930,0.399,0.417,1.469,90.725,2.348,58.624,1.053,0.733,3.105,2.557,2.442,1.415,0.475,0.637,0.535,0.759,0.822,0.381,0.230,0.268,0.354,0.310
2023-05-14 17:47:43.638,1.107,0.499,0.853,0.474,0.403,1.053,53.827,1.945,34.185,0.800,0.771,2.332,2.507,2.099,1.331,0.428,0.593,0.508,0.691,0.676,0.345,0.213,0.240,0.319,0.262
2023-05-14 17:47:43.760,1.077,0.469,0.782,0.577,0.387,0.698,25.191,1.642,15.491,0.739,0.755,1.693,2.337,1.847,1.447,0.458,0.588,0.515,0.695,0.564,0.323,0.210,0.211,0.301,0.227
2023-05-14 17:47:43.886,1.157,0.442,0.736,0.673,0.388,0.482,8.829,1.530,5.123,0.859,0.721,1.343,2.159,1.735,1.752,0.580,0.625,0.561,0.751,0.497,0.313,0.219,0.189,0.301,0.212
